Assembly Name,Assembly Accession,Assembly Paired Assembly Accession,Organism Name,Organism Taxonomic ID,ANI Check status,Annotation Name,Assembly Stats Total Sequence Length,Assembly Stats Number of Contigs,Assembly Stats Scaffold N50,Assembly Stats GC Percent,Annotation Count Gene Total,Annotation Count Gene Protein-coding
ASM4622685v1,GCA_046226855.1,,Eucalyptus globulus,34317,,Annotation submitted by Southwest Forestry University,556979041,31,54030587,39.5,36387,36387
ASM2365362v1,GCA_023653625.1,,Triadica sebifera,139772,,,739397770,237,34174058,32.5,,
ASM3077008v1,GCA_030770085.1,,Oryza coarctata,77588,,,573362877,463,23112565,42,,
OnivRS2,GCA_000576065.2,,Oryza nivara,4536,,,395534265,38,18986252,43.5,,
CAS_Eicr_1.0,GCA_030549335.1,,Pontederia crassipes,44947,,,1132240410,131,69839179,36.5,,
ASM4722554v1,GCA_047225545.1,,Malus hupehensis,106556,,,1168993714,804,33666229,38,,
dhBetPend1.hap1.1,GCA_965285875.1,,Betula pendula,3505,,,403466907,184,28870692,36,,
JIC_Lsat_v2.1.1,GCA_963859935.3,,Lathyrus sativus,3860,,Annotation submitted by John Innes Centre,5967284493,13593,700447244,38,31719,31719
daSolCann1.hap1.1,GCA_965663515.1,,Solidago canadensis,59297,,,812059780,654,85697689,35,,
Ta-2021,GCA_019776745.2,,Taxus chinensis,29808,,Annotation submitted by Chinese academy of agriculture sciences,10237952243,15900,903737476,37,44770,44770
ASM4364339v1,GCA_043643395.1,,Suaeda salsa,126914,,,437686790,1589,47186663,35.5,,
ASM936387v1,GCA_009363875.1,,Mikania micrantha,192012,,Annotation submitted by Agricultural Genomics institute at Shenzhen,1790643622,4414,86674320,36,46351,46329
ASM2255984v1,GCA_022559845.1,,Amorphophallus konjac,78372,,,5598555559,8425,419331422,45.5,,
ASM4105330v1,GCA_041053305.1,,Zanthoxylum armatum,67938,,,5324252993,9493,67220523,36.5,,
UofA_Burton_1,GCA_028274465.1,,Plantago ovata,185002,,,500939359,4280,128867510,38.5,,
G_gynandra_v3.0,GCA_036759665.1,,Gynandropsis gynandra,190802,,,739950679,71825,41873000,37.5,,
ASM2855147v1,GCA_028551475.1,,Casuarina equisetifolia,3523,,,268942579,214,29167830,36.5,,
ASM976338v1,GCA_009763385.1,,Coix lacryma-jobi var. lacryma-jobi,1156411,,,1731458735,8757,161246920,46.5,,
ReSoon,GCA_040143545.1,,Reaumuria songarica,194564,,,1280583998,464,116152396,37,,
ASM3707453v1,GCA_037074535.1,,Gleditsia sinensis,66096,,,921441504,104,68211918,34,,
A.stonolifera_Declaration_hap2v1.0,GCA_052724335.1,,Agrostis stolonifera,63632,,,2738132926,425,187880091,45.5,,
A17_2,GCA_054554805.1,,Rosa roxburghii,74654,,,495965453,104,66404339,39,,
Ptet,GCA_053477545.1,,Psophocarpus tetragonolobus,3891,,,697685870,124,85977384,31,,
ASM4656464v1,GCA_046564645.1,,Phaseolus lunatus,3884,,,547933535,432,47547103,36,,
ASM1013465v1,GCA_010134655.1,,Fragaria nilgerrensis,64941,,,270303199,368,38307961,38.5,,
ASM3027231v1,GCA_030272315.1,,Paspalum vaginatum,158149,,,517974767,346,47058851,46,,
ASM1340144v1,GCF_013401445.1,GCA_013401445.1,Tripterygium wilfordii,458696,,NCBI Tripterygium wilfordii Annotation Release 100,348533228,467,13518038,37.5,37561,31432
ASM5375503v1,GCA_053755035.1,,Haloxylon ammodendron,151230,,,2315792928,3290,257588235,35.5,,
Hca.v20180122,GCA_047302245.1,,Hibiscus cannabinus,229543,,Annotation submitted by Fujian Agriculture and Forestry University,1078801868,2629,59776783,35.5,64841,64841
BananaB_V1,GCA_004837865.1,,Musa balbisiana,52838,,Annotation submitted by Institute of Tropical Bioscience and Biotechnology,492775286,3373,41415055,38,35148,33021
C_canadensis_v1,GCF_010389155.1,GCA_010389155.1,Erigeron canadensis,72917,,NCBI Erigeron canadensis Annotation Release 100,426223753,858,45539152,34,33472,28703
ASM1797944v1,GCA_017979445.1,,Akebia trifoliata,155132,,,652796637,1553,35751958,35,,
ASM1992579v1,GCA_019925795.1,,Dendrobium chrysotoxum,161865,,Annotation submitted by The Orchid Conservation and Research Center of Shenzhen,1368173789,2303,67798029,35.5,30041,27094
ZJU_Lfor_1.0,GCA_039720395.1,,Liquidambar formosana,63359,,Annotation submitted by Zhejiang University,718378248,1015,40934126,36.5,28611,28041
ASM3678586v1,GCA_036785865.1,,Coffea canephora,49390,,,672383427,3757,50124509,37.5,,
ASM2985693v1,GCA_029856935.1,,Cyclocarya paliurus,117167,,,583476924,1284,35147620,36.5,,
Bs_v2,GCA_008642245.2,,Bassia scoparia,83154,,,969602021,2340,99879496,37.5,,
ASM1608111v2,GCA_016081115.2,,Rehmannia glutinosa,99300,,Annotation submitted by Henan University of Chinese Medicine,2407208525,6720,77897302,36.5,50067,50067
ASM5066295v1,GCA_050662955.1,,Pinus radiata,3347,,,22408479511,337437,221616,38,,
aradu.V14167.gnm2.J7QH,GCF_000817695.3,GCA_000817695.3,Arachis duranensis,130453,,GCF_000817695.3-RS_2023_02,1081735204,132279,108052799,36,44220,33525
ASM4018296v1,GCA_040182965.1,,Clitoria ternatea,43366,,,1721557839,859,293675500,36.5,,
ASM3769348v1,GCA_037693485.1,,Kitagawia praeruptora,312531,,,1797363986,240,161107617,35.5,,
ASM4175394v1,GCA_041753945.1,,Pleuropterus multiflorus,76025,,,1458374580,362,128529570,39,,
ASM4893276v1,GCA_048932765.1,,Chelidonium majus,71251,,,1007373812,1519,154589789,36.5,,
ASM4095487v1,GCA_040954875.1,,Beckmannia syzigachne,368345,,,3191685729,4308,431717085,44,,
ASM5131358v1,GCA_051313585.1,,Elaeagnus mollis,1642857,,,622042899,167,36157234,32,,
CNU_Od_KOPRI_CHR_hap1.1.0,GCA_053567975.1,,Oxyria digyna,284366,,,548593125,46,77167041,38.5,,
V124.hap2_v1.0,GCA_051623385.1,,Vitis pseudoreticulata,231512,,,524535922,158,27322192,35.5,,
SDAU_Thin_1.0,GCA_050657015.1,,Thinopyrum intermedium,85679,,,10887998815,4357,495766686,45.5,,
daPauTome1.hap1.1,GCA_965263725.1,,Paulownia tomentosa,39353,,,523448902,272,27180994,31.5,,
ObraRS2,GCF_000231095.2,GCA_000231095.3,Oryza brachyantha,4533,,NCBI Oryza brachyantha Annotation Release 102,263195077,73,11392507,41.5,27042,23334
Ahypochondriacus_v3,GCA_977020195.1,,Amaranthus hypochondriacus,28502,,Annotation submitted by University of Cologne,434863491,381,25996252,33,25167,25167
daSolNigr1.hap1.1,GCA_964243065.1,,Solanum nigrum,4112,,,2975022173,940,85061814,36.5,,
ASM4014430v1,GCA_040144305.1,,Paulownia fortunei,586722,,,476290004,803,21809624,31,,
ASM2363800v1,GCA_023638005.1,,Forsythia suspensa,126418,,,737525904,1236,51135059,33.5,,
ASM2875185v1,GCA_028751855.1,,Ambrosia trifida,4214,,,1657819354,846,143427067,37,,
ASM2987363v1,GCF_029873635.1,GCA_029873635.1,Malania oleifera,397392,,GCF_029873635.1-RS_2023_07,1494424960,1099,112642085,36,25252,20699
ASM4583872v1,GCA_045838725.1,,Bougainvillea glabra,3541,,,2872655872,2859,167905837,36.5,,
dhQuePetr1.hap1.1,GCA_964102825.1,,Quercus petraea,38865,,,823572903,777,69921773,36,,
ASM1463336v1,GCF_014633365.1,GCA_014633365.1,Diospyros lotus,55363,,NCBI Diospyros lotus Annotation Release 100,630098508,648,42671757,36.5,27971,24080
ASM4122247v1,GCA_041222475.1,,Prunus pseudocerasus,151439,,,339287471,2865,28997468,40.5,,
mabamboo_1.0,GCA_017311315.1,,Dendrocalamus latiflorus,257763,,,2748733734,3974,39208460,44.5,,
ASM4490585v1,GCA_044905855.1,,Prunella vulgaris,39358,,,671700023,693,49103293,37,,
ddPriVulg1.1,GCA_963920805.1,,Primula vulgaris,175104,,,417752201,464,36375910,34,,
ASM2143724v1,GCA_021437245.1,,Aegilops speltoides,4573,,,4110187043,14635,530918953,46.5,,
ASM2123400v1,GCA_021234005.1,,Nephelium lappaceum,151071,,,409258346,1335,21647323,33,,
ASM5194100v1,GCA_051941005.1,,Fraxinus pennsylvanica,56036,,,851917107,1027,37810140,34.5,,
ASM4686236v1,GCA_046862365.1,,Cynodon dactylon,28909,,,866904429,2402,49439359,44,,
ASM2540343v1,GCA_025403435.1,,Artocarpus heterophyllus,3489,,,985626975,1633,32810172,35,,
drRosRugo1.1,GCF_958449725.1,GCA_958449725.1,Rosa rugosa,74645,,GCF_958449725.1-RS_2024_01,417128682,1091,58176182,39.5,40191,29146
ASM1820801v1,GCA_018208015.1,,Medicago ruthenica,70973,,,904130090,2091,99386155,36,,
ASM3284766v1,GCA_032847665.1,,Solanum chilense,4083,,,901270475,12413,72333043,34.5,,
UniMelb_Shisp_WGS_1.0,GCF_023119035.1,GCA_023119035.1,Salvia hispanica,49212,,NCBI Salvia hispanica Annotation Release 100,321318253,5303,53190533,36,39616,32922
ASM5413520v1,GCA_054135205.1,,Gentiana crassa subsp. rigescens,3097545,,,2061134395,8045,156853912,38.5,,
ASM3643548v1,GCA_036435485.1,,Saposhnikovia divaricata,203717,,,2077853104,193,227670568,35.5,,
ASM1568090v1,GCA_015680905.1,,Coptis chinensis,261450,,Annotation submitted by Hubei University of Chinese Medicine,935659790,116,98746328,37.5,40011,40011
ddEupLath1.1,GCF_963576675.1,GCA_963576675.1,Euphorbia lathyris,212925,,GCF_963576675.1-RS_2024_06,1020389306,57,96320253,37,35710,21473
ASM2253091v1,GCA_022530915.1,,Paspalum notatum,147272,,,540949507,95,49314041,45.5,,
RHMOLv1,GCA_025413875.1,,Rhododendron molle,49168,,Annotation submitted by Ori-Gene Co. Ltd.,652158357,30,52635490,40.5,40578,40021
daSolDulc1.2,GCF_947179165.1,GCA_947179165.2,Solanum dulcamara,45834,,GCF_947179165.1-RS_2023_05,946304905,143,80040668,36,35381,25374
dcCheAlbu1.1,GCA_948465745.1,,Chenopodium album,3559,,,1593843283,223,60299674,36,,
ASM5479071v1,GCA_054790715.1,,Lonicera macranthoides,638627,,Annotation submitted by Chongqing Academy of Chinese Materia Medic,856550467,374,97870989,35,36768,36768
ZAAS_BaOldh_V1,GCA_052818405.1,,Bambusa oldhamii,58923,,,1442725978,1859,38936033,45,,
ASM2883001v1,GCA_028830015.1,,Eucalyptus grandis x Eucalyptus urophylla,192399,,,1095246901,204,53349810,39.5,,
NTU_Bstr_SAD12_2.2,GCA_018361395.1,,Boechera stricta,72658,,,190536481,22,26945205,36,,
ASM2641367v1,GCA_026413675.1,,Populus pruinosa,492479,,,518069894,574,25104340,33,,
Cymodocea nodosa var. Cn_1 HAP2 version 1.0,GCA_036874045.1,,Cymodocea nodosa,55448,,,374703545,28,20848850,33,,
V022.hap1_v1.0,GCA_044591675.1,,Vitis cinerea var. helleri x Vitis rupestris,104324,,,515645799,154,27077891,35,,
ASM3843017v1,GCA_038430175.1,,Ficus hirta,309429,,,296732640,52,19920111,35,,
ASM3707461v1,GCA_037074615.1,,Leucaena leucocephala,3866,,,1338165608,271,23644757,34.5,,
ASM2249680v1,GCA_022496805.1,,Pohlia nutans,140635,,,698195908,410,30709574,39,,
94003 Monoecious Salix purpurea Haplotype 2 assembly,GCA_027405865.1,,Salix purpurea,77065,,,405530279,153,13529463,36,,
ASM5062643v1,GCA_050626435.1,,Aegilops tauschii x Triticum turgidum,285950,,,13629559756,4516,713447469,46.5,,
UZH_kam_Tak_1,GCA_055265485.1,,Arabidopsis kamchatica,59690,,,504535040,1612,25211445,37,,
ASM4612815v1,GCA_046128155.1,,Gynochthodes officinalis,266091,,,431751766,369,39187316,34,,
ASM3054977v1,GCA_030549775.1,,Tamarix chinensis,189791,,,1323468532,414,110027873,34,,
ASM5281587v1,GCA_052815875.1,,Aegilops markgrafii,4494,,,3577170360,721,489410094,47,,
ASM3650727v1,GCA_036507275.1,,Sicyos edulis,184140,,,608211883,473,46561661,38.5,,
Ulmin1.0,GCA_048987585.1,,Ulmus minor,262084,,Annotation submitted by UPM,2091769381,1763,133764600,35.5,46357,46357
ASM4086913v1,GCA_040869135.1,,Rhodiola kirilowii,203008,,Annotation submitted by Shaanxi Normal University,653469755,358,54464701,41,33708,33225
ASM1920280v1,GCA_019202805.1,,Arabidopsis suecica,45249,,Annotation submitted by Nanjing Agricultural University,271598466,600,19834363,36,60553,55727
SYSU_Rhapic_HiC,GCA_037832385.1,,Rhizophora apiculata,106626,,,231999244,546,13308321,35,,
Qrubra_687_v2.0,GCA_035136125.1,,Quercus rubra,3512,,"Annotation submitted by University of Tennessee, Knoxville",738996406,1562,58110601,35,33247,33247
Alomy_genome_v1,GCA_028641055.1,,Alopecurus myosuroides,81473,,,3571731728,7330,522029352,44.5,,
ASM2949068v1,GCA_029490685.1,,Schizonepeta tenuifolia,2849020,,,762070521,2391,107001266,37.5,,
ASM4276772v1,GCA_042767725.1,,Ageratina adenophora,176616,,,3817966899,43141,70799310,37.5,,
CUHK_Hcor_1,GCA_039654745.1,,Houttuynia cordata,16752,,,499627886,719,64292961,39.5,,
PHallii_v3.1,GCF_002211085.1,GCA_002211085.2,Panicum hallii,206008,,NCBI Panicum hallii Annotation Release 100,535889049,1027,1111465,47,31528,26380
ASM2020550v1,GCA_020205505.1,,Panax japonicus,44685,,,2028856204,4096,78398967,34,,
ValleyOak3.2,GCF_001633185.2,GCA_001633185.5,Quercus lobata,97700,,NCBI Quercus lobata Annotation Release 100,845947251,3675,66423012,35.5,45898,36703
EO12.1,GCA_000441515.2,,Elaeis oleifera,80265,,,2042896157,64329,141087874,39.5,,
csSphPalu1.1,GCA_965637455.1,,Sphagnum palustre,13805,,,842997006,2267,22631887,36,,
SDNU_Libico_1.0,GCA_023374045.1,,Limonium bicolor,293754,,,2925439704,12263,340376713,39,,
NAAS_Bs_1.0,GCA_044505025.1,,Bienertia sinuspersici,338654,,Annotation submitted by Woo Jangchoot project,3607938889,20476,360765591,36,40465,40465
ASM2903076v1,GCA_029030765.1,,Salix suchowensis,1278906,,Annotation submitted by Cornell University,382054263,2912,15445465,35,30650,30650
ASM3409313v1,GCA_034093135.1,,Erigeron breviscapus,244311,,,1427905205,18662,156790804,36,,
SCU_Mint_v3,GCF_013358625.1,GCA_013358625.1,Macadamia integrifolia,60698,,NCBI Macadamia integrifolia Annotation Release 100,744777467,23448,34167173,39,38075,28774
Msac_v3,GCA_002993905.1,,Miscanthus sacchariflorus,183675,,,2074921001,1077567,25627,46,,
ASM3073784v1,GCA_030737845.1,,Acorus calamus,4465,,Annotation submitted by Fujian Agriculture and Forestry University,721748827,3627,30794984,37,45828,45828
Chamomilla_reference_assembly_v1,GCA_963920955.1,,Matricaria chamomilla var. recutita,127986,,,2757679026,2662,285044652,36.5,,
ASM2981641v1,GCA_029816415.1,,Melastoma malabathricum subsp. normale,528022,,,306989521,609,22545889,43.5,,
ASM1834077v1,GCA_018340775.1,,Taxus wallichiana var. yunnanensis,2778344,,,10738316084,11280,966801426,37,,
Lser_US96UC23_V15,GCF_051521515.1,GCA_051521515.1,Lactuca serriola,75943,,GCF_051521515.1-RS_2026_02,2552029383,129,313855594,38,54845,33230
USP_Acracu_1.0,GCA_055471735.1,,Acrocomia aculeata,169987,,,1964193835,34,143438751,40,,
Abarbata_PI388828_v1.0,GCA_947310925.1,,Avena barbata,146530,,,6946891593,3086,504882030,44,,
LcamUF-T48.hap2,GCA_037501455.1,,Lantana camara,126435,,,1276848257,414,110144852,39,,
drPlaXhis1.hap1.1,GCA_976954525.1,,Platanus x hispanica,140101,,,1750471053,626,82837229,37,,
Pheterophylla_genome_v1.0,GCA_977035685.1,,Pseudostellaria heterophylla,418402,,,2188784783,219,144783613,36,,
Rnigrum_genome_assembly,GCA_965236665.2,,Ribes nigrum,78511,,,871555738,38,113235913,37,,
ASM3970765v1,GCA_039707655.1,,Elymus sibiricus,52830,,,6898919498,418,520243240,45.5,,
Pcoc_1,GCA_037954025.1,,Phaseolus coccineus,3886,,Annotation submitted by Agricultural Genomics Institute at Shenzhen,588672384,245,52871251,37,34063,31434
ASM3707498v1,GCA_037074985.1,,Solanum bulbocastanum,147425,,Annotation submitted by Obihiro Univerisity of Agriculture and Veterinary Medicine,737653378,1845,52534229,35.5,35379,35355
ASM4611926v1,GCA_046119265.1,,Citrus australasica,416196,,,344299584,21,35040242,38.5,,
ASM4611929v1,GCA_046119295.1,,Citrus glauca,76963,,,333568423,16,33467929,38.5,,
ASM5257533v1,GCA_052575335.1,,Mentha longifolia,38859,,,380882201,15,30477260,36.5,,
ASM5057502v1,GCA_050575025.1,,Prunus cerasifera,36595,,,246873127,22,29544789,38,,
V120.hap1_v1.0,GCA_044588435.1,,Vitis piasezkii,228411,,,522720917,95,26544728,35,,
ASM5464319v1,GCA_054643195.1,,Uncaria rhynchophylla,43575,,,619292997,42,27468268,36.5,,
dhAlnGlut1.1,GCF_958979055.1,GCA_958979055.1,Alnus glutinosa,3517,,GCF_958979055.1-RS_2024_01,456761304,111,30513540,36.5,32175,24946
ASM3034539v1,GCA_030345395.1,,Prunus mongolica,1501231,,,233102919,89,26540977,38,,
ASM4458495v1,GCA_044584955.1,,Aegilops comosa,4485,,,4475389378,1391,619056011,46.5,,
TC01_v1,GCA_051529935.1,,Ipomoea aquatica,89636,,,492093769,194,31458449,35.5,,
ASM4832091v1,GCA_048320915.1,,Oryza schlechteri,110451,,,702103645,136,22254628,43.5,,
ASM3362920v1,GCA_033629205.1,,Lithocarpus polystachyus,2518020,,,952401775,581,78632227,35.5,,
ASM4722616v1,GCA_047226165.1,,Malus spectabilis,709982,,,708058280,454,36115322,38.5,,
Oryza_grandiglumis_Doell_1.0_genome,GCA_048188845.1,,Oryza grandiglumis,29690,,,874293245,71,19301259,44,,
ASM4172161v1,GCA_041721615.1,,Liquidambar styraciflua,4400,,,662480891,327,39539173,37.5,,
drPotAnse1.1,GCF_933775445.1,GCA_933775445.1,Argentina anserina,57926,,GCF_933775445.1-RS_2024_04,236973942,155,28859254,38,23643,19620
OpunRS2,GCA_000573905.2,,Oryza punctata,4537,,,422391326,77,18594736,43.5,,
ASM2260669v1,GCA_022606695.1,,Vaccinium macrocarpon,13750,,,484919498,124,39611093,38,,
ASM39365v2,GCF_000393655.2,GCA_000393655.2,Nicotiana sylvestris,4096,,GCF_000393655.2-RS_2024_11,2321584986,502,188594255,39,54111,45213
Aegilops_geniculata_ksu_v1.3,GCA_053567775.1,,Aegilops geniculata,130459,,Annotation submitted by Kansas State University,8110178221,1366,604824310,46.5,74135,70226
ASM1814443v1,GCA_018144435.1,,Gossypium tomentosum,34277,,,2226965508,1629,103048976,34,,
MPIPZ_junEff1m_1,GCA_027726005.1,,Juncus effusus,13579,,Annotation submitted by Max-Planck institute for plant breeding research,258276744,386,11091224,33.5,18942,18942
ASM2458632v1,GCA_024586325.1,,Stellera chamaejasme,142738,,,439663718,88,51654716,41.5,,
NCae_cira_2.3,GCA_046127275.1,,Noccaea caerulescens,107243,,,295602313,1218,36232063,39.5,,
ASM3380777v1,GCA_033807775.1,,Saussurea involucrata,200489,,,2451754542,2097,150277778,38.5,,
Plantago_major_Chr,GCA_026545765.1,,Plantago major,29818,,,671064317,891,93210706,38,,
ASM3577117v1,GCA_035771175.1,,Paratinospora sagittata,648882,,,1299608092,4485,42067207,36.5,,
drMalSylv7.3,GCA_916048215.3,,Malus sylvestris,3752,,,640969901,133,36902754,38,,
drMalSylv7.2,GCF_916048215.2,GCA_916048215.2,Malus sylvestris,3752,,NCBI Malus sylvestris Annotation Release 100,640969901,133,36902754,38,53019,37480
ASM2865439v1,GCA_028654395.1,,Scutellaria barbata,396367,,,376965765,525,26007137,34,,
TyphaL0001v2,GCF_019914945.1,GCA_019914945.2,Typha latifolia,4733,,GCF_019914945.1-RS_2025_04,213846373,131,14472745,37.5,22663,20341
drMalRobu1.1,GCA_963082935.1,,Malus x robusta,1184610,,,620813678,164,35755900,38,,
ASM4767838v1,GCA_047678385.1,,Amorphophallus albus,152299,,,5935356927,2302,467257938,45.5,,
ASM5094726v1,GCA_050947265.1,,Cyperus rotundus,512623,,,285573172,83,5643325,36,,
ddPriVeri1.1,GCA_963682055.1,,Primula veris,170927,,,436168066,232,35415404,35,,
H_incana_v2.0_HiC,GCA_044115375.1,,Hirschfeldia incana,71354,,,408929680,526,52380001,36,,
SspV2,GCF_004379255.2,GCA_004379255.2,Salvia splendens,180675,,NCBI Salvia splendens Annotation Release 100,805931446,1609,35138742,39,70997,55405
ddArmRust1.hap2.1,GCA_965620565.1,,Armoracia rusticana,3704,,,589750271,455,35826811,37.5,,
Melaze_AO_1.1,GCA_028052125.1,,Melia azedarach,155640,,Annotation submitted by John Innes Centre,230843767,544,16922981,32,26712,26712
drMedLupu1.1,GCA_958299785.1,,Medicago lupulina,47085,,,575430454,483,69616069,34,,
dhQueIlex1.hap2.1,GCA_964341355.1,,Quercus ilex,58334,,,855785827,817,72620000,36.5,,
ASM1169623v1,GCA_011696235.1,,Quercus mongolica,103485,,,809993317,735,66735633,36,,
ASM291648v2,GCA_002916485.2,,Juglans nigra,16719,,,531994817,1330,35276180,36.5,,
ASM5198876v1,GCA_051988765.1,,Chimonanthus praecox,13419,,,695356185,1622,65349815,36.5,,
ASM1179987v1,GCA_011799875.1,,Thinopyrum elongatum,4588,,,4634136514,12292,625473173,46,,
ASM1640334v1,GCA_016403345.1,,Corylus heterophylla,80754,,,370750808,1329,31328411,36,,
E.urophylla_SAP_FK118_maternal_v01,GCA_026873135.1,,Eucalyptus urophylla,99020,,,544169300,1410,42454922,39.5,,
ASM1967100v1,GCA_019671005.1,,Hibiscus mutabilis,455430,,,2675925053,6154,54699351,35.5,,
ASM3477007v1,GCA_034770075.1,,Aralia elata,82095,,,1246374496,1498,90880588,35.5,,
ASM4490609v1,GCA_044906095.1,,Populus yunnanensis,242124,,,440113605,341,21509250,33.5,,
ddNasOffi1.1,GCA_963854855.1,,Nasturtium officinale,65948,,,224952480,264,14505831,35.5,,
CpurpureusR40_1_0,GCA_014871385.1,,Ceratodon purpureus,3225,,Annotation submitted by DOE Joint Genome Institute,362511043,601,1405213,42.5,31482,31482
ASM2091643v1,GCA_020916435.1,,Oxytropis ochrocephala,483875,,,958908507,972,121790617,37.5,,
RJap_1.0,GCA_048128825.1,,Reynoutria japonica,488216,,,3293239434,9222,158325324,38.5,,
ASM3016916v1,GCA_030169165.1,,Centaurea solstitialis,347529,,Annotation submitted by UAEEB-DL,765066052,3209,100696929,37,34242,33537
arast.V10309.gnm1.PFL2,GCF_014773155.1,GCA_014773155.1,Arachis stenosperma,217475,,GCF_014773155.1-RS_2023_06,1328990366,14187,141817970,37,52708,33599
Dzin_1.0,GCA_026586065.1,,Dioscorea zingiberensis,325984,,Annotation submitted by Wuhan University,629184705,1147,55778752,39,30319,30319
UCONN_Acsa_1.0,GCA_030490815.1,,Acer saccharum,4024,,Annotation submitted by University of Connecticut,626454929,1413,45724731,35.5,38583,38583
ASM2855139v1,GCA_028551395.1,,Casuarina glauca,3522,,,296631783,512,32828526,36.5,,
ASM2621246v1,GCF_026212465.1,GCA_026212465.1,Amaranthus tricolor,29722,,GCF_026212465.1-RS_2023_06,520084113,2544,31692477,32,32396,24770
ASM2472124v1,GCA_024721245.1,,Mitragyna speciosa,170351,,,692445403,4275,26436849,34.5,,
ASM1932011v1,GCF_019320115.1,GCA_019320115.1,Miscanthus floridulus,154761,,GCF_019320115.1-RS_2024_07,2684453698,7351,142959281,45.5,104076,69627
ddSalVimi1.hap1.1,GCA_965648455.1,,Salix viminalis,40686,,,303328504,1291,15256138,34.5,,
ASM1293172v1,GCA_012931725.1,,Litsea cubeba,155299,,,1325681069,3682,1759806,40.5,,
WBP_1.0,GCA_034641835.3,,Pinus albicaulis,71622,,,27611538162,93359,1634761663,37,,
SlydLA2951_v2.0,GCA_022817965.1,,Solanum lycopersicoides,142760,,,1286520287,13034,93853793,35,,
Ceug_1.0,GCF_003713205.1,GCA_003713205.1,Coffea eugenioides,49369,,NCBI Coffea eugenioides Annotation Release 100,699903961,7012,47530510,37,35455,29100
APGP_CSIRO_Lrig_0.1,GCF_022539505.1,GCA_022539505.1,Lolium rigidum,89674,,NCBI Lolium rigidum Annotation Release 100,2438467165,33683,361799021,45,62600,46752
ASM2153325v1,GCA_021533255.1,,Ceriops tagal,61143,,,231918905,12755,11408429,36.5,,
ddVacViti1.3,GCA_963854785.2,,Vaccinium vitis-idaea,180772,,,513484293,988,41464896,39,,
UGA_Spu_v1.0,GCA_051027295.1,,Sarracenia purpurea var. burkii,336876,,Annotation submitted by University of Georgia,3311703349,6330,220029669,39,52475,51195
ASM3086422v1,GCA_030864225.1,,Capsicum baccatum var. pendulum,40320,,,3310135342,1758,283054573,35.5,,
ASM5117549v1,GCA_051175495.1,,Avena nuda,4497,,,3613612632,412,520122564,44.5,,
ASM5117125v1,GCA_051171255.1,,Avena fatua,4499,,,10977317890,1195,509513743,44,,
ASM4316530v1,GCA_043165305.1,,Flemingia macrophylla,520843,,Annotation submitted by Hunan Provincial Institute for Drug Control,1006176190,30,100628990,35,33075,33075
ASM4129632v1,GCA_041296325.1,,Zanthoxylum nitidum,354528,,,2232970528,275,61495432,36,,
dcSilAcau1.hap1.1,GCA_981406025.1,,Silene acaulis,39862,,,1320479899,228,107849797,37.5,,
ASM3707450v1,GCA_037074505.1,,Albizia julibrissin,3813,,,704936734,215,55539299,34.5,,
ASM3707451v1,GCA_037074515.1,,Mimosa bimucronata,587864,,,640548845,71,49009160,35,,
ASM3966091v1,GCA_039660915.1,,Euphorbia tirucalli,142860,,,745615164,58,75089574,36.5,,
ASM3701349v1,GCA_037013495.1,,Hippophae tibetana,193519,,,957163063,90,80077159,30,,
daAtrBela1.hap1.1,GCA_978020845.1,,Atropa belladonna,33113,,,1668087929,205,46866379,34,,
daVerOffi1.1,GCA_958496215.1,,Verbena officinalis,79772,,,289201093,19,42305780,37,,
lpPhaArun1.hap1.1,GCA_977930405.1,,Phalaris arundinacea,96050,,,4271620721,441,302475469,45.5,,
ASM5194297v1,GCA_051942975.1,,Rosa canina,74635,,,2485171038,1263,71038681,39,,
ASM5071719v1,GCA_050717195.1,,Alcea rosea,65557,,,1010485642,67,48081237,35.5,,
ASM5428686v1,GCA_054286865.1,,Cuphea hookeriana,36775,,,492992242,74,30228253,38,,
ASM2362138v1,GCA_023621385.1,,Quercus gilva,103490,,,889842715,773,70354190,36,,
MJU_Smar_1.0,GCA_036898165.1,,Silybum marianum,92921,,,694367011,74,41395897,34.5,,
ASM2874904v1,GCA_028749045.1,,Cupressus sempervirens,13469,,,10012101419,2396,919939343,34.5,,
ASM4143036v1,GCA_041430365.1,,Salvia sclarea,38869,,,506686327,112,50476100,38.5,,
Urohumi_v2,GCA_965614515.1,,Urochloa humidicola,240451,,Annotation submitted by Earlham Institute,4101701028,1184,86792572,46,259254,259254
ASM3450975v1,GCA_034509755.1,,Anisodus tanguticus,243964,,"Annotation submitted by Kunming Institute of Botany, Chinese Academy of Sciences",1262549439,292,51279509,36.5,44252,44252
DNA952V2,GCA_042608515.1,,Plagiochasma appendiculatum,157224,,,432776047,58,51587375,40.5,,
ASM2569846v1,GCA_025698465.1,,Gossypium longicalyx,34280,,,1198547475,148,95944508,34,,
ASM2569847v1,GCA_025698475.1,,Gossypium anomalum,47600,,,1202738338,162,98351605,34,,
Mfusca_Hap1_v1.0,GCA_035220775.1,,Malus fusca,106553,,,651182355,267,36779757,38,,
ASM4058388v1,GCA_040583885.1,,Musella lasiocarpa,101617,,,475543824,97,53045455,40,,
ASM3685090v1,GCA_036850905.1,,Luffa acutangula,56866,,,739816328,280,56077004,36,,
ASM5191240v1,GCA_051912405.1,,Emmenopterys henryi,86990,,,810853857,79,18277824,34.5,,
